Format,OpenTRACK,,,,,,
Name,Paul Ricard,,,,,,
Country,France,,,,,,
City,Paul Ricard,,,,,,
Type,Permanent,,,,,,
Config,Closed,,,,,,
Direction,Forward,,,,,,
Mirror,Off,,,,,,
Export Frequency,50,Hz,,,,,
50,215,0.1,0.1,423,0,1,1
51,215,0,0,423,0,1,1
53,215.1,0,0,423,0,1,1
54,215.6,0,0.1,423,0,1,1
55,216,0,0,423,0,1,1
56,216.1,0,0,423,0,1,1
57,216.1,-0.3,0,423,0,1,1
59,216.2,-0.4,0,423,0,1,1
60,216.7,-0.4,0,423,0,1,1
61,217.1,-0.4,0,423,0,1,1
62,217.2,-0.4,-0.1,423,0,1,1
63,217.2,-0.4,-0.1,423,0,1,1
65,217.3,-0.1,0,423,0,1,1
66,217.8,-0.3,0,423,0,1,1
67,218.2,-0.1,0.1,423,0,1,1
68,218.3,0,0.1,423,0,1,1
70,218.3,0,0.1,423,0,1,1
71,218.4,0,0.1,422.9,0,1,1
72,218.9,0.3,0,422.9,0,1,1
73,219.3,0.4,0,422.9,0,1,1
75,219.4,0.4,0,422.9,0,1,1
76,219.4,0.1,0,422.9,0,1,1
77,219.5,0,0.1,422.9,0,1,1
78,219.9,0,0.1,422.9,0,1,1
80,220.4,0,0.1,422.9,0,1,1
81,220.5,0,0.1,422.9,0,1,1
82,220.5,0,0,422.9,0,1,1
83,220.6,0,0,422.9,0,1,1
85,220.9,0,0,422.9,0,1,1
86,221.3,0,0,422.9,0,1,1
87,221.4,0,0,422.9,0,1,1
88,221.4,0,0,422.9,0,1,1
90,221.5,0.3,0,422.9,0,1,1
91,221.9,0.4,0,422.9,0,1,1
92,222.3,0.4,0,422.9,0,1,1
93,222.4,0.1,0,422.9,0,1,1
95,222.4,-0.3,0,422.9,0,1,1
96,222.4,-0.4,0,422.9,0,1,1
97,222.4,-0.4,0,422.9,0,1,1
98,222.4,-0.6,0,422.9,0,1,1
100,222.4,-1.3,-0.1,422.9,0,1,1
101,222.4,-1.4,-0.1,422.9,0,1,1
102,222.6,-1.7,-0.1,422.9,0,1,1
103,223.2,-1.8,-0.1,422.9,0,1,1
105,223.8,-1.8,-0.1,422.9,0,1,1
106,224,-1.5,-0.1,422.9,0,1,1
107,224,-1.4,-0.1,422.9,0,1,1
108,224.1,-1.4,-0.1,422.8,0,1,1
110,224.5,-1.4,-0.1,422.8,0,1,1
111,224.9,-1.2,-0.1,422.8,0,1,1
112,225,-1.1,-0.1,422.8,0,1,1
113,225,-0.8,-0.1,422.8,0,1,1
115,225.1,-0.7,-0.1,422.8,0,1,1
116,225.3,-0.5,-0.1,422.8,0,1,1
117,225.5,-0.4,-0.1,422.8,0,1,1
118,225.5,-0.4,-0.1,422.8,0,1,1
120,225.5,-0.4,-0.1,422.8,0,1,1
121,225.6,-0.6,-0.1,422.8,0,1,1
122,226.2,-0.7,-0.1,422.8,0,1,1
124,226.7,-1,-0.1,422.8,0,1,1
125,226.8,-1.1,-0.1,422.8,0,1,1
126,226.8,-1.1,-0.1,422.8,0,1,1
127,226.9,-1.1,-0.1,422.8,0,1,1
129,227.3,-1.1,-0.1,422.8,0,1,1
130,227.6,-1.1,0,422.8,0,1,1
131,227.7,-0.8,0,422.8,0,1,1
133,227.7,-0.5,0,422.8,0,1,1
134,227.8,-0.4,0,422.7,0,1,1
135,228.2,-0.1,0,422.7,0,1,1
136,228.6,0,0,422.7,0,1,1
138,228.7,0.3,-0.1,422.7,0,1,1
139,228.7,0.4,-0.1,422.7,0,1,1
140,228.8,0.4,-0.1,422.7,0,1,1
142,229.1,-0.2,-0.1,422.7,0,1,1
143,229.3,-0.6,-0.1,422.7,0,1,1
144,229.4,-1,-0.1,422.7,0,1,1
145,229.4,-1.1,0,422.7,0,1,1
147,229.5,-1.4,0,422.7,0,1,1
148,229.9,-1.4,0,422.7,0,1,1
149,230.4,-1.4,-0.1,422.7,0,1,1
151,230.5,-1.2,-0.1,422.7,0,1,1
152,230.5,-0.8,-0.1,422.6,0,1,1
153,230.6,-0.7,-0.1,422.6,0,1,1
154,231,-0.7,-0.1,422.6,0,1,1
156,231.4,-0.5,-0.1,422.5,0,1,1
157,231.5,-0.4,-0.1,422.5,0,1,1
158,231.5,-0.4,-0.1,422.5,0,1,1
160,231.5,-0.4,-0.1,422.4,0,1,1
161,231.5,-0.4,0,422.4,0,1,1
162,231.5,-0.4,0,422.4,0,1,1
164,231.5,-0.4,0,422.4,0,1,1
165,231.5,-0.4,0,422.4,0,1,1
166,231.6,-0.4,0,422.3,0,1,1
167,231.9,-0.4,0,422.3,0,1,1
169,232.3,-0.4,0,422.3,0,1,1
170,232.4,-0.1,0,422.3,0,1,1
171,232.4,0,0,422.3,0,1,1
173,232.5,0,0,422.2,0,1,1
174,232.9,0,0,422.2,0,1,1
175,233.2,0,0,422.2,0,1,1
177,233.3,0,0,422.2,0,1,1
178,233.3,0.3,0,422.2,0,1,1
179,233.4,0.4,0,422.1,0,1,1
181,233.9,0.1,0.1,422.1,0,1,1
182,234.3,0,0.1,422.1,0,1,1
183,234.4,0.3,0,422.1,0,1,1
184,234.4,0.4,0,422.1,0,1,1
186,234.5,0.1,0,422,0,1,1
187,235.1,0,0,422,0,1,1
188,235.6,0,0,422,0,1,1
190,235.7,-0.3,0,422,0,1,1
191,235.7,-0.4,0,422,0,1,1
192,235.8,-0.1,0,421.9,0,1,1
194,236.1,-0.3,0,421.9,0,1,1
195,236.4,-0.4,0,421.9,0,1,1
196,236.5,-0.4,0,421.9,0,1,1
198,236.5,-0.1,0,421.9,0,1,1
199,236.6,-0.3,0,421.8,0,1,1
200,236.9,-0.4,0,421.8,0,1,1
202,237.1,-0.4,0,421.8,0,1,1
203,237.2,-0.1,0,421.8,0,1,1
204,237.2,-0.3,0,421.8,0,1,1
206,237.2,-0.4,-0.1,421.7,0,1,1
207,237.5,-0.4,-0.1,421.7,0,1,1
208,237.6,-0.6,0,421.7,0,1,1
210,237.7,-0.7,0,421.7,0,1,1
211,237.7,-0.7,-0.1,421.7,0,1,1
212,237.7,-0.5,0,421.6,0,1,1
214,237.9,-0.4,0,421.6,0,1,1
215,238.1,-0.6,-0.1,421.6,0,1,1
216,238.1,-0.7,0,421.6,0,1,1
218,238.1,-0.5,-0.1,421.6,0,1,1
219,238.2,-0.4,0,421.5,0,1,1
220,238.7,-0.4,0,421.5,0,1,1
222,239.1,-0.4,0,421.5,0,1,1
223,239.2,-0.4,0,421.5,0,1,1
224,239.2,-0.1,0,421.4,0,1,1
226,239.2,0,0,421.4,0,1,1
227,239.4,0,-0.1,421.4,0,1,1
228,239.6,0,-0.1,421.3,0,1,1
230,239.6,-0.3,0,421.3,0,1,1
231,239.6,-0.4,0,421.3,0,1,1
232,239.7,-0.6,-0.1,421.2,0,1,1
234,240,-0.7,-0.1,421.2,0,1,1
235,240.2,-0.7,0,421.2,0,1,1
236,240.3,-1,-0.1,421.2,0,1,1
238,240.3,-1.4,-0.1,421.2,0,1,1
239,240.4,-1.4,-0.1,421.1,0,1,1
240,240.7,-1.4,-0.1,421.1,0,1,1
242,241,-1.4,-0.1,421.1,0,1,1
243,241.1,-1.2,-0.1,421.1,0,1,1
244,241.1,-0.8,-0.1,421,0,1,1
246,241.1,-0.7,-0.1,421,0,1,1
247,241.2,-0.5,-0.1,421,0,1,1
248,241.3,-0.4,-0.1,420.9,0,1,1
250,241.3,-0.1,0,420.9,0,1,1
251,241.3,0,0,420.9,0,1,1
253,241.3,0,0,420.8,0,1,1
254,241.6,0.3,0,420.8,0,1,1
255,241.7,0.4,0,420.8,0,1,1
257,241.8,0.1,0,420.8,0,1,1
258,241.8,0,0,420.8,0,1,1
259,241.9,-0.3,0,420.7,0,1,1
261,242.2,-0.4,0,420.7,0,1,1
262,242.5,-0.4,0,420.7,0,1,1
263,242.6,-0.4,0,420.7,0,1,1
265,242.6,-0.4,0,420.6,0,1,1
266,242.6,-0.4,0,420.6,0,1,1
267,242.8,-0.4,0,420.6,0,1,1
269,242.9,-0.1,0,420.5,0,1,1
270,242.9,0,0,420.5,0,1,1
272,242.9,0.3,0,420.5,0,1,1
273,243,0.4,0,420.4,0,1,1
274,243.7,0.4,0,420.4,0,1,1
276,244.2,0.1,0,420.4,0,1,1
277,244.4,0,0,420.4,0,1,1
278,244.4,0,0,420.5,0,1,1
280,244.5,-0.3,0,420.5,0,1,1
281,244.8,-0.1,0,420.6,0,1,1
282,245.1,-0.3,0,420.6,0,1,1
284,245.2,-0.4,0,420.6,0,1,1
285,245.2,-0.4,0,420.6,0,1,1
287,245.2,-0.4,0,420.5,0,1,1
288,245.5,-0.4,0,420.5,0,1,1
289,245.6,-0.4,-0.1,420.5,0,1,1
291,245.7,-0.4,0,420.5,0,1,1
292,245.7,-0.6,-0.1,420.4,0,1,1
293,245.7,-0.7,-0.1,420.4,0,1,1
295,245.7,-1,-0.1,420.4,0,1,1
296,245.7,-1.1,-0.1,420.3,0,1,1
298,245.7,-1.4,-0.1,420.3,0,1,1
299,245.7,-1.4,-0.1,420.2,0,1,1
300,245.8,-1.4,-0.1,420.2,0,1,1
302,246.1,-1.2,-0.1,420.2,0,1,1
303,246.4,-1.1,-0.1,420.1,0,1,1
304,246.5,-1.1,-0.1,420.1,0,1,1
306,246.5,-1.1,-0.1,420.1,0,1,1
307,246.5,-1.1,-0.1,420,0,1,1
309,246.8,-1.1,-0.1,420,0,1,1
310,246.9,-0.8,-0.1,420,0,1,1
311,247,-0.7,-0.1,420,0,1,1
313,247,-0.5,-0.1,419.9,0,1,1
314,247.1,-0.4,0,419.9,0,1,1
315,247.4,-0.6,0,419.9,0,1,1
317,247.8,-0.5,-0.1,419.8,0,1,1
318,247.9,-0.4,0,419.8,0,1,1
320,247.9,-0.1,0,419.8,0,1,1
321,248,0,0,419.7,0,1,1
322,248.2,-0.3,0,419.7,0,1,1
324,248.4,-0.4,0,419.7,0,1,1
325,248.5,-0.1,0,419.7,0,1,1
327,248.5,-0.3,0,419.6,0,1,1
328,248.6,-0.4,-0.1,419.6,0,1,1
329,248.8,-0.4,-0.1,419.6,0,1,1
331,249,-0.4,0,419.5,0,1,1
332,249,-0.4,0,419.5,0,1,1
334,249,-0.4,0,419.5,0,1,1
335,249.1,-0.6,0,419.4,0,1,1
336,249.3,-0.7,0,419.4,0,1,1
338,249.5,-0.5,0,419.4,0,1,1
339,249.6,-0.4,0,419.4,0,1,1
341,249.6,-0.1,0,419.4,0,1,1
342,249.7,0,0,419.3,0,1,1
343,250.1,0,0,419.3,0,1,1
345,250.4,0.3,0,419.3,0,1,1
346,250.5,0.4,0,419.3,0,1,1
348,250.5,0.4,0,419.2,0,1,1
349,250.6,0.4,0,419.2,0,1,1
350,250.8,0.1,0,419.2,0,1,1
352,251,0,0,419.1,0,1,1
353,251.1,0,0,419.1,0,1,1
355,251.1,0,0.1,419.1,0,1,1
356,251.2,0,0.1,419,0,1,1
357,251.5,0,0.1,419,0,1,1
359,251.7,0,0.1,419,0,1,1
360,251.8,0,0.1,419,0,1,1
362,251.8,0.3,0,419,0,1,1
363,251.8,0.4,0,418.9,0,1,1
364,252,0.4,0,418.9,0,1,1
366,252.2,0.1,-0.1,418.9,0,1,1
367,252.2,0,0,418.9,0,1,1
369,252.2,-0.3,0,418.9,0,1,1
370,252.3,-0.4,0.1,418.8,0,1,1
371,252.7,-0.4,0.1,418.8,0,1,1
373,253,-0.4,0,418.8,0,1,1
374,253.1,-0.4,0,418.8,0,1,1
376,253.1,-0.1,-0.1,418.7,0,1,1
377,253.1,0,0,418.7,0,1,1
378,253.3,-0.3,0,418.7,0,1,1
380,253.5,-0.4,0,418.6,0,1,1
381,253.5,-0.4,0,418.6,0,1,1
383,253.5,-0.1,0,418.6,0,1,1
384,253.6,0.3,0.1,418.5,0,1,1
386,253.9,0.4,0.1,418.5,0,1,1
387,254.3,0.4,0.1,418.5,0,1,1
388,254.4,0.4,0.1,418.5,0,1,1
390,254.4,0.4,0.1,418.5,0,1,1
391,254.5,0.4,0,418.4,0,1,1
393,254.7,0.4,0,418.4,0,1,1
394,254.9,0.1,0,418.4,0,1,1
396,255,0,0,418.4,0,1,1
397,255,0,0.1,418.4,0,1,1
398,255.1,0,0.1,418.3,0,1,1
400,255.3,0,0,418.3,0,1,1
401,255.5,0,0,418.3,0,1,1
403,255.5,0,0,418.3,0,1,1
404,255.5,-0.3,0,418.3,0,1,1
405,255.6,-0.4,0,418.2,0,1,1
407,255.8,-0.4,0,418.2,0,1,1
408,256,-0.4,0,418.2,0,1,1
410,256.1,-0.4,0,418.2,0,1,1
411,256.1,-0.4,0,418.2,0,1,1
413,256.1,-0.4,0.1,418.1,0,1,1
414,256.2,-0.4,0.1,418.1,0,1,1
415,256.3,-0.1,0,418.1,0,1,1
417,256.3,0,0,418.1,0,1,1
418,256.3,-0.3,0,418.1,0,1,1
420,256.4,-0.4,0,418.1,0,1,1
421,256.6,-0.4,0,418.1,0,1,1
423,256.9,-0.1,0,418.1,0,1,1
424,257,0.3,0,418.1,0,1,1
426,257,0.4,0,418.1,0,1,1
427,257,0.6,-0.1,418.1,0,1,1
428,257.2,0.7,0,418.1,0,1,1
430,257.4,0.7,0.1,418.1,0,1,1
431,257.4,1,0.1,418.1,0,1,1
433,257.4,1.1,0.1,418.1,0,1,1
434,257.4,0.8,0.1,418,0,1,1
436,257.3,0.5,0,418,0,1,1
437,257.2,0.4,0.1,418,0,1,1
438,257.2,-0.2,0,418,0,1,1
440,257.2,-0.6,0,418,0,1,1
441,257.2,-0.7,0,417.9,0,1,1
443,257.4,-0.5,0,417.9,0,1,1
444,257.7,-0.1,0,417.9,0,1,1
445,257.7,0,0.1,417.9,0,1,1
447,257.7,-0.5,0,417.9,0,1,1
448,257.8,-1.3,-0.1,417.8,0,1,1
450,258.1,-2.3,-0.2,417.8,0,1,1
451,258.4,-3.3,-0.2,417.8,0,1,1
452,258.5,-3.9,-0.2,417.8,0,1,1
454,258.5,-3.7,-0.2,417.8,0,1,1
455,258.3,-3.1,-0.1,417.7,0,1,1
457,257.6,-1.8,-0.1,417.7,0,1,1
458,257,-0.4,-0.1,417.7,0,1,1
459,256.8,1.1,0,417.7,0,1,1
461,256.8,2,0,417.7,0,1,1
462,256.6,2.4,-0.1,417.6,0,1,1
463,255.8,2.5,-0.1,417.6,0,1,1
465,255,2,0,417.6,0,1,1
466,254.8,1,0,417.6,0,1,1
467,254.8,-0.1,0,417.6,0,1,1
468,254.5,-0.9,0,417.5,0,1,1
470,253.4,-1.6,0,417.5,0,1,1
471,252.3,-2.1,-0.1,417.5,0,1,1
472,252,-2.2,-0.1,417.5,0,1,1
474,252,-1.9,-0.1,417.5,0,1,1
475,251.9,-1.8,0,417.4,0,1,1
476,251.3,-1.5,0,417.4,0,1,1
477,250.6,-0.9,0,417.4,0,1,1
479,250.5,-0.5,0,417.4,0,1,1
480,250.5,-0.1,0,417.3,0,1,1
481,250.1,0.3,0,417.3,0,1,1
482,248.6,0.6,0,417.3,0,1,1
483,247,0.7,0,417.2,0,1,1
485,246.6,0.7,0,417.2,0,1,1
486,246.6,1,0,417.2,0,1,1
487,246.4,1.1,0,417.2,0,1,1
488,245.8,1.4,0,417.2,0,1,1
489,245.2,1.4,0,417.2,0,1,1
490,245,1.7,0,417.2,0,1,1
492,245,1.5,0,417.2,0,1,1
493,244.2,1.2,0.1,417.1,0,1,1
494,240.8,0.8,0.1,417.1,0,1,1
495,237.4,0.5,0.1,417.1,0,1,1
496,236.6,0.4,0.1,417.1,0,1,1
497,236.6,0.6,0.1,417.1,0,1,1
498,236.4,1,0.2,417,0,1,1
499,235.6,1.6,0.2,417,0,1,1
500,234.8,2.1,0.2,417,0,1,1
502,234.6,2.7,0.2,417,0,1,1
503,234.6,3.1,0.1,416.9,0,1,1
504,233.9,3.5,0.1,416.9,0,1,1
505,231,3.6,0.1,416.9,0,1,1
506,228.1,3.3,0.1,416.8,0,1,1
507,227.4,3,0.2,416.8,0,1,1
508,227.4,2.3,0.1,416.8,0,1,1
509,225.8,1.6,0.2,416.7,0,1,1
510,219.4,0.9,0.2,416.7,0,1,1
511,213,0.5,0.1,416.7,0,1,1
512,211.4,0.1,0.1,416.8,0,1,1
513,211.4,0,0.1,416.8,0,1,1
514,210.2,0,0.2,416.9,0,1,1
515,205.2,0.3,0.2,417,0,1,1
516,200.2,0.6,0.2,417.1,0,1,1
517,199,1.5,0.2,417.1,0,1,1
518,199,2.3,0.2,417.2,0,1,1
519,198.2,2.8,0.1,417.2,0,1,1
520,194.9,3.1,0.1,417.3,0,1,1
521,191.5,3.5,0.1,417.3,0,1,1
522,190.7,3.9,0.1,417.3,0,1,1
523,190.7,4,0.2,417.3,0,1,1
524,190,3.7,0.2,417.4,0,1,1
525,187,3.6,0.3,417.4,0,1,1
526,184,3.6,0.3,417.4,0,1,1
526,183.3,3.9,0.3,417.4,0,1,1
527,183.3,4.2,0.3,417.4,0,1,1
528,182.6,4.3,0.3,417.5,0,1,1
529,179.9,4,0.3,417.5,0,1,1
530,177.1,4.2,0.3,417.5,0,1,1
531,176.4,4.9,0.3,417.5,0,1,1
532,176.4,4.8,0.3,417.5,0,1,1
533,175.8,3.9,0.3,417.5,0,1,1
534,173.4,2.5,0.3,417.5,0,1,1
535,170.9,1.6,0.2,417.5,0,1,1
535,170.3,1.2,0.3,417.5,0,1,1
536,170.3,1.4,0.2,417.5,0,1,1
537,169.7,2.3,0.2,417.5,0,1,1
538,167.3,3.3,0.2,417.5,0,1,1
539,164.8,4.1,0.2,417.5,0,1,1
540,164.2,4.6,0.2,417.5,0,1,1
541,164.2,5,0.2,417.5,0,1,1
541,163.6,4.8,0.2,417.6,0,1,1
542,161.1,3.9,0.3,417.6,0,1,1
543,158.5,3.1,0.3,417.6,0,1,1
544,157.9,2.3,0.2,417.6,0,1,1
545,157.9,1.9,0.2,417.6,0,1,1
545,157.6,1.8,0.2,417.6,0,1,1
546,156.6,1.8,0.3,417.6,0,1,1
547,155.6,2.1,0.2,417.6,0,1,1
548,155.3,2.4,0.3,417.6,0,1,1
549,155.3,2.8,0.2,417.6,0,1,1
549,154.6,3.1,0.2,417.6,0,1,1
550,151.8,3.8,0.2,417.6,0,1,1
551,149,4,0.2,417.6,0,1,1
552,148.3,4,0.1,417.6,0,1,1
552,148.3,3.7,0.2,417.6,0,1,1
553,147.6,3.1,0.1,417.7,0,1,1
554,144.9,2.9,0.2,417.7,0,1,1
555,142.3,2.9,0.2,417.7,0,1,1
555,141.6,2.9,0.2,417.7,0,1,1
556,141.6,2.9,0.2,417.7,0,1,1
557,141,2.9,0.2,417.8,0,1,1
557,138.7,3.1,0.2,417.8,0,1,1
558,136.3,3.8,0.2,417.8,0,1,1
559,135.7,4.2,0.3,417.8,0,1,1
560,135.7,4.3,0.3,417.8,0,1,1
560,135.2,4.6,0.2,417.8,0,1,1
561,133.2,4.4,0.2,417.8,0,1,1
562,131.2,4,0.2,417.8,0,1,1
562,130.7,3.7,0.2,417.8,0,1,1
563,130.7,3.1,0.1,417.8,0,1,1
564,130.2,2.3,0.1,417.9,0,1,1
564,128.3,1.4,0.1,417.9,0,1,1
565,126.4,0.5,0.1,417.9,0,1,1
566,125.9,0.1,0.1,417.9,0,1,1
566,125.9,0,0.1,417.9,0,1,1
567,125.5,0,0.1,418,0,1,1
568,123.7,0.3,0.1,418,0,1,1
568,121.8,0.6,0.1,418,0,1,1
569,121.4,1,0.1,418,0,1,1
570,121.4,1.4,0.1,418,0,1,1
570,121.1,2,0.1,418.1,0,1,1
571,119.7,2.4,0.1,418.1,0,1,1
572,118.3,2.8,0.1,418.1,0,1,1
572,117.9,3.1,0.2,418.1,0,1,1
573,117.9,3.8,0.2,418.1,0,1,1
574,117.6,4.2,0.3,418.1,0,1,1
574,116.4,5.1,0.3,418.1,0,1,1
575,115.1,5.9,0.4,418.1,0,1,1
575,114.8,6.7,0.4,418.1,0,1,1
576,114.8,7.6,0.4,418.1,0,1,1
577,114.5,8.5,0.4,418.1,0,1,1
577,113.4,8.6,0.4,418.1,0,1,1
578,112.3,8.4,0.4,418.1,0,1,1
579,112,8,0.3,418.1,0,1,1
579,112,7.1,0.3,418.1,0,1,1
580,111.9,6.3,0.3,418.1,0,1,1
580,111.5,5.6,0.2,418.1,0,1,1
581,111,4.6,0.3,418.1,0,1,1
582,110.9,3.5,0.3,418.1,0,1,1
582,110.9,3.2,0.3,418.1,0,1,1
583,110.6,3.5,0.3,418.1,0,1,1
583,109.6,4.4,0.3,418.1,0,1,1
584,108.6,5.5,0.3,418.1,0,1,1
585,108.3,6.6,0.3,418.1,0,1,1
585,108.3,7.4,0.4,418.1,0,1,1
586,108.1,8.1,0.4,418.1,0,1,1
586,107.2,8.8,0.5,418.1,0,1,1
587,106.3,9.3,0.5,418.1,0,1,1
588,106.1,9.9,0.5,418.1,0,1,1
588,106.1,10.3,0.5,418.1,0,1,1
589,105.9,10.4,0.5,418.1,0,1,1
589,105.2,10.4,0.5,418.1,0,1,1
590,104.4,10.2,0.5,418.1,0,1,1
591,104.2,9.8,0.5,418.1,0,1,1
591,104.2,9.4,0.5,418.1,0,1,1
592,104,9.4,0.5,418.1,0,1,1
592,103.4,9.6,0.6,418.1,0,1,1
593,102.8,10.3,0.7,418.1,0,1,1
593,102.6,11.5,0.7,418.1,0,1,1
594,102.6,14,0.7,418.1,0,1,1
595,102.4,15.6,0.8,418.1,0,1,1
595,101.9,17.2,0.7,418.1,0,1,1
596,101.2,17.6,0.7,418.1,0,1,1
596,101.1,17.4,0.7,418.1,0,1,1
597,101.1,17,0.8,418.1,0,1,1
598,101,16.9,0.9,418.1,0,1,1
598,100.7,17.5,1,418.1,0,1,1
599,100.4,18.2,1,418.1,0,1,1
599,100.3,19.7,1.1,418.1,0,1,1
600,100.3,21.8,1.1,418.1,0,1,1
600,100.2,22.6,1,418,0,1,1
601,100,23.2,1,418,0,1,1
602,99.7,23.4,1,418,0,1,1
602,99.6,23.1,0.9,418,0,1,1
603,99.6,22.5,0.9,418,0,1,1
603,99.5,22,0.9,418.1,0,1,1
604,99.3,21.7,1,418.1,0,1,1
604,99.1,21.6,1,418.1,0,1,1
605,99,21.9,1,418.1,0,1,1
605,99,21.7,1.1,418.1,0,1,1
606,98.9,21.6,1.1,418.1,0,1,1
607,98.6,21.9,1.1,418.1,0,1,1
607,98.2,22.2,1.2,418.1,0,1,1
608,98.1,23.4,1.2,418.1,0,1,1
608,98.1,25.9,1.2,418.1,0,1,1
609,98.1,27.2,1.2,418.1,0,1,1
609,98.1,29,1.1,418.1,0,1,1
610,98.1,29.5,1.1,418.1,0,1,1
610,98.1,29,1.1,418.1,0,1,1
611,98.1,27.4,1,418.1,0,1,1
612,98.1,26.7,1,418,0,1,1
612,97.9,25.3,1.1,418,0,1,1
613,97.6,24.6,1.2,418,0,1,1
613,97.6,25.3,1.3,418,0,1,1
614,97.6,26.9,1.2,418,0,1,1
614,97.6,28.4,1.2,417.9,0,1,1
615,97.5,29.1,1.2,417.9,0,1,1
615,97.4,29.2,1.1,417.9,0,1,1
616,97.4,28.9,1.1,417.9,0,1,1
616,97.4,28.5,1.1,417.8,0,1,1
617,97.2,28.2,1.2,417.8,0,1,1
617,96.6,28.3,1.3,417.8,0,1,1
618,95.9,28.4,1.3,417.7,0,1,1
619,95.7,28.4,1.3,417.7,0,1,1
619,95.7,29.5,1.3,417.6,0,1,1
620,95.6,30.4,1.3,417.6,0,1,1
620,95.4,31.9,1.3,417.6,0,1,1
621,95.2,32.4,1.3,417.5,0,1,1
621,95.1,32.1,1.3,417.5,0,1,1
622,95.1,32,1.3,417.5,0,1,1
622,95,31.8,1.3,417.4,0,1,1
623,94.6,30.9,1.3,417.4,0,1,1
623,94.1,30.6,1.3,417.4,0,1,1
624,94,30.6,1.4,417.4,0,1,1
625,94,30.3,1.3,417.4,0,1,1
625,94,30.2,1.3,417.3,0,1,1
626,93.8,29.4,1.3,417.3,0,1,1
626,93.5,29.2,1.3,417.3,0,1,1
627,93.5,29.4,1.3,417.3,0,1,1
627,93.5,31.4,1.4,417.3,0,1,1
628,93.5,33.1,1.3,417.2,0,1,1
628,93.6,37.3,1.4,417.2,0,1,1
629,93.7,39.6,1.3,417.2,0,1,1
629,93.7,40.8,1.3,417.2,0,1,1
630,93.7,40,1.3,417.2,0,1,1
630,93.7,38.8,1.3,417.1,0,1,1
631,93.8,35.3,1.4,417.1,0,1,1
631,93.8,33.1,1.5,417.1,0,1,1
632,93.8,31.1,1.6,417.1,0,1,1
632,93.8,30.9,1.6,417.1,0,1,1
633,93.9,31.5,1.5,417.2,0,1,1
633,94.2,33,1.5,417.2,0,1,1
634,94.5,34.3,1.3,417.2,0,1,1
635,94.6,36.2,1.2,417.2,0,1,1
635,94.6,36.2,1.2,417.2,0,1,1
636,94.6,35.5,1.1,417.1,0,1,1
636,94.6,32.9,1.1,417.1,0,1,1
637,94.6,31,1.2,417.1,0,1,1
637,94.6,27.4,1.2,417.1,0,1,1
638,94.6,24.7,1.3,417.1,0,1,1
638,94.4,23.6,1.3,417.1,0,1,1
639,93.6,22.6,1.3,417.1,0,1,1
639,92.8,22.3,1.3,417.1,0,1,1
640,92.6,23.4,1.4,417.1,0,1,1
640,92.6,25.1,1.4,417.1,0,1,1
641,92.6,26.6,1.4,417.1,0,1,1
641,92.4,27.5,1.4,417.1,0,1,1
642,92.2,28,1.3,417.1,0,1,1
